track_name,artist_name,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
Natural Thing,Innocence,spotify:track:2YF77W3rc7AhuQLagekSzG,0.646,0.489,10,-15.522,0,0.0426,0.006,0.629,0.254,0.321,102.937,audio_features,2YF77W3rc7AhuQLagekSzG,https://api.spotify.com/v1/tracks/2YF77W3rc7AhuQLagekSzG,https://api.spotify.com/v1/audio-analysis/2YF77W3rc7AhuQLagekSzG,590133,4
A Matter Of Fact - 7'' Mix,Innocence,spotify:track:1uzr0YxQHyVAam0PXSBnzQ,0.493,0.258,5,-17.827,0,0.217,0.825,2.6e-06,0.0843,0.159,82.109,audio_features,1uzr0YxQHyVAam0PXSBnzQ,https://api.spotify.com/v1/tracks/1uzr0YxQHyVAam0PXSBnzQ,https://api.spotify.com/v1/audio-analysis/1uzr0YxQHyVAam0PXSBnzQ,335333,4
Frankie,Alexandra Savior,spotify:track:3VgXsLohuKbAZ19MEc14hY,0.368,0.56,2,-7.27,1,0.0296,0.015,0.000139,0.207,0.44,94.6,audio_features,3VgXsLohuKbAZ19MEc14hY,https://api.spotify.com/v1/tracks/3VgXsLohuKbAZ19MEc14hY,https://api.spotify.com/v1/audio-analysis/3VgXsLohuKbAZ19MEc14hY,227933,5
Wicked World,Laura Jansen,spotify:track:31OvUS1XU0xoFR2wDbtsZ2,0.638,0.648,5,-4.917,0,0.0505,0.448,0.0,0.0855,0.86,179.998,audio_features,31OvUS1XU0xoFR2wDbtsZ2,https://api.spotify.com/v1/tracks/31OvUS1XU0xoFR2wDbtsZ2,https://api.spotify.com/v1/audio-analysis/31OvUS1XU0xoFR2wDbtsZ2,151240,4
Roland the Roadie and Gertrude the Groupie,Dr. Hook,spotify:track:4oFyrMKm76QChaDDutCO7L,0.812,0.622,9,-10.057,1,0.315,0.554,0.0,0.626,0.759,115.856,audio_features,4oFyrMKm76QChaDDutCO7L,https://api.spotify.com/v1/tracks/4oFyrMKm76QChaDDutCO7L,https://api.spotify.com/v1/audio-analysis/4oFyrMKm76QChaDDutCO7L,181213,4
Animal Magic,Belouis Some,spotify:track:5psu4hgVRTWGnW9ZPidL4R,0.677,0.448,0,-15.994,1,0.0278,0.609,0.386,0.356,0.685,115.204,audio_features,5psu4hgVRTWGnW9ZPidL4R,https://api.spotify.com/v1/tracks/5psu4hgVRTWGnW9ZPidL4R,https://api.spotify.com/v1/audio-analysis/5psu4hgVRTWGnW9ZPidL4R,274533,4
Ever Thought Of Coming Back,Kelley Stoltz,spotify:track:4nrOG66cATEBkG5WFFpEnl,0.611,0.821,5,-4.929,1,0.0302,0.251,0.00224,0.066,0.899,124.908,audio_features,4nrOG66cATEBkG5WFFpEnl,https://api.spotify.com/v1/tracks/4nrOG66cATEBkG5WFFpEnl,https://api.spotify.com/v1/audio-analysis/4nrOG66cATEBkG5WFFpEnl,178200,4
Prank Calls,Kelley Stoltz,spotify:track:4OkGulUODMewtTU40LA2ox,0.72,0.616,11,-8.211,1,0.0324,0.533,0.00727,0.311,0.8,117.372,audio_features,4OkGulUODMewtTU40LA2ox,https://api.spotify.com/v1/tracks/4OkGulUODMewtTU40LA2ox,https://api.spotify.com/v1/audio-analysis/4OkGulUODMewtTU40LA2ox,151027,4
New York Trader,The Imagined Village,spotify:track:7I6kdg0xFo0LzDP2C48Li2,0.696,0.552,7,-8.343,1,0.0334,0.0517,0.172,0.0875,0.598,136.988,audio_features,7I6kdg0xFo0LzDP2C48Li2,https://api.spotify.com/v1/tracks/7I6kdg0xFo0LzDP2C48Li2,https://api.spotify.com/v1/audio-analysis/7I6kdg0xFo0LzDP2C48Li2,382600,5
I Love My Dad,Sun Kil Moon,spotify:track:1UUcihbUIbJk8RM6IQVTTi,0.841,0.331,4,-11.735,1,0.0489,0.872,2.34e-05,0.354,0.657,111.87,audio_features,1UUcihbUIbJk8RM6IQVTTi,https://api.spotify.com/v1/tracks/1UUcihbUIbJk8RM6IQVTTi,https://api.spotify.com/v1/audio-analysis/1UUcihbUIbJk8RM6IQVTTi,376027,4
